date_start,title,lst_keywords,len_keywords,link,extracted
13.08.2020,Senior Software Developer Angular/React/ Vue/PHP/ Ruby/Python/ Node.js/React Native,"azure,php,sql,ruby,aws,python",29,https://www.jobs.bg/5397237,true
13.08.2020,Senior Software Developer Angular/React/ Vue/PHP/ Ruby/Python/ Node.js/React Native,"azure,php,sql,ruby,aws,python",29,https://www.jobs.bg/5397236,true
12.08.2020,Regular Python Developer,"c,sql,python,java",17,https://www.jobs.bg/5396920,true
05.08.2020,"Backend Engineer with Go/C#/Java/Python & K8s, VMware Carbon Black","cassandra,python,c,sql,ruby,java,aws,c++,go",43,https://www.jobs.bg/5389681,true
05.08.2020,Regular Java Developer (Java + Python),"shell,python,java",17,https://www.jobs.bg/5389376,true
05.08.2020,DevOps Engineer with Python,"azure,splunk,c,ruby,java,aws,shell,python",41,https://www.jobs.bg/5388958,true
30.07.2020,Senior Python Developer,"django,sql,python",17,https://www.jobs.bg/5383059,true
29.07.2020,Python Developer,python,6,https://www.jobs.bg/5381869,true
28.07.2020,Back-End Python Developer,"tornado,django,sql,saas,flask,bash,python",41,https://www.jobs.bg/5381067,true
28.07.2020,Software engineer/tester with Python,python,6,https://www.jobs.bg/5380614,true
21.08.2020,Senior Data Engineer,"azure,hive,scala,sql,etl,python,go",34,https://www.jobs.bg/5405757,true
20.08.2020,Backend Software Engineer,"r,python,java,aws,c++,go",24,https://www.jobs.bg/5405327,true
20.08.2020,QA and Automation Engineer,"c,basic,java,javascript,python",30,https://www.jobs.bg/5405387,true
20.08.2020,Cloud Engineer,"cassandra,sql,ruby,aws,bash,python",34,https://www.jobs.bg/5404606,true
19.08.2020,C Software Engineer,"c,c++,go,python",15,https://www.jobs.bg/5381856,true
19.08.2020,Senior DevOps Engineer (Syncplicity Team),"c,sql,bash,java,aws,shell,python",32,https://www.jobs.bg/5403592,true
18.08.2020,Senior Reconciliation Technical Specialist,"sql,python,ruby",15,https://www.jobs.bg/5402728,true
18.08.2020,SOFTWARE DEVELOPER FOR AUTOMOTIVE,"c,c++,python",12,https://www.jobs.bg/5402304,true
18.08.2020,C++ DEVELOPER FOR AUTOMOTIVE,"c,c++,python",12,https://www.jobs.bg/5402306,true
18.08.2020,SOFTWARE/SYSTEM TEST ENGINEER FOR AUTOMOTIVE,"c,python,basic",14,https://www.jobs.bg/5402309,true
17.08.2020,Build and Release Engineer,"python,c,bash,java,shell,c++,go",31,https://www.jobs.bg/5401765,true
17.08.2020,Full Stack Software Engineer,"php,c,ruby,basic,java,python",28,https://www.jobs.bg/5401470,true
17.08.2020,Developer in Test / Automation QA (Express Delivery Team for Key Customers),"r,go,python",11,https://www.jobs.bg/5400942,true
14.08.2020,Machine Learning Engineer,"hive,scala,hadoop,sql,spark,java,python",39,https://www.jobs.bg/5399320,true
14.08.2020,Linux Administrator,"sql,python,shell",16,https://www.jobs.bg/5399200,true
14.08.2020,Data Science Team Leader,"r,sas,spss,excel,python",23,https://www.jobs.bg/5398628,true
12.08.2020,Data Architect  (Data Governance),"aws,d3,etl,python",17,https://www.jobs.bg/5397107,true
11.08.2020,Senior Software Engineer (Full Stack with React),"c,ruby,python,php",17,https://www.jobs.bg/5395231,true
11.08.2020,Senior Cloud Security Analyst,"azure,r,aws,python,go",21,https://www.jobs.bg/5395160,true
10.08.2020,IT Developer Messaging and Collaboration,"c,sql,python,basic",18,https://www.jobs.bg/5394310,true
10.08.2020,DevOps Engineer,"azure,perl,bash,aws,shell,python",32,https://www.jobs.bg/5393975,true
10.08.2020,Database Linux System Administrator,"perl,sql,aws,bash,python",24,https://www.jobs.bg/5393477,true
10.08.2020,Network Linux System Administrator,"perl,aws,bash,python,shark",26,https://www.jobs.bg/5393150,true
07.08.2020,Data Architect,"tableau,sql,d3,aws,python",25,https://www.jobs.bg/5392111,true
07.08.2020,Machine Learning Engineer,"spark,sql,flask,aws,shell,python",32,https://www.jobs.bg/5392079,true
07.08.2020,Senior Devops Engineer,"azure,sql,ruby,aws,bash,python",30,https://www.jobs.bg/5391929,true
07.08.2020,HiL – Testingenieur für Systemverbund (w/m/d),"c,c++,python,java",17,https://www.jobs.bg/5391921,true
07.08.2020,HiL – Testingenieur für Komponenten (w/m/d),"c,c++,python,java",17,https://www.jobs.bg/5391916,true
07.08.2020,Credit Risk Models Expert,"r,sas,sql,spss,java,python",26,https://www.jobs.bg/5391347,true
07.08.2020,Software Architect,"python,spark,swift,java,hdfs,c++",32,https://www.jobs.bg/5391383,true
07.08.2020,Technical Consultant,"sql,java,aws,shell,python",25,https://www.jobs.bg/5391222,true
07.08.2020,Site Reliability Engineer,"r,hadoop,sql,spark,spss,bash,aws,excel,hdfs,python",50,https://www.jobs.bg/5391194,true
06.08.2020,Associate CAD Engineer,"perl,r,python",13,https://www.jobs.bg/5390990,true
06.08.2020,Java Developer,"sql,basic,java,shell,python,go",30,https://www.jobs.bg/5390560,true
05.08.2020,Data Reporting Analyst,"requests,sql,python,tableau",27,https://www.jobs.bg/5389870,true
05.08.2020,Storage Infrastructure Engineer,"perl,javascript,aws,bash,python",31,https://www.jobs.bg/5389504,true
